old_product_id,old_handle,sku,new_product_id,new_handle,status
"prod_01KP6FANYQP07P0266TQXXAB47","vevor-shipping-container-wheels-6-lug-wheels-kit-heavy-duty-shipping-c-jzxclz655inc6kb55001v0","JZXCLZ655INC6KB55001V0","prod_01KPJV4Z63QJ8XASA2AKWDWF6D","vevor-shipping-container-wheels-6-lug-wheels-kit-heavy-duty-shipping-c-jzxclz655inc6kb55001v0","CREATED"
"prod_01KP6FANYQP07P0266TQXXAB47","vevor-shipping-container-wheels-6-lug-wheels-kit-heavy-duty-shipping-c-jzxclz655inc6kb55001v0","JZXCLZ865INCC5Z76001V0","prod_01KPJV4ZE21VRSAWKZXJWD61S7","vevor-shipping-container-wheels-8-lug-wheels-kit-heavy-duty-shipping-c-jzxclz865incc5z76001v0","CREATED"
"prod_01KP6FAP8E123XKEVMM03DVHX5","vevor-containment-mat-2-4-x-5-5-m-non-slip-pvc-garage-floor-mat-with-a-tcd7ft9inch1falw3001v0","TCD8FT6INCH2CV2VM001V0","prod_01KPJV4ZXS664TT6W2H8YMDRGR","vevor-containment-mat-2-6-x-6-1-m-non-slip-pvc-garage-floor-mat-with-a-tcd8ft6inch2cv2vm001v0","CREATED"
"prod_01KP6FAP8E123XKEVMM03DVHX5","vevor-containment-mat-2-4-x-5-5-m-non-slip-pvc-garage-floor-mat-with-a-tcd7ft9inch1falw3001v0","TCD7FT9INCH1FALW3001V0","prod_01KPJV504GXF4AK6YZAGJ8KCH7","vevor-containment-mat-2-4-x-5-5-m-non-slip-pvc-garage-floor-mat-with-a-tcd7ft9inch1falw3001v0","CREATED"
"prod_01KP6FAP8E123XKEVMM03DVHX5","vevor-containment-mat-2-4-x-5-5-m-non-slip-pvc-garage-floor-mat-with-a-tcd7ft9inch1falw3001v0","TCD7FT9INCH1ICX0E001V0","prod_01KPJV50CCCSZZB0RD1PMYB8R0","vevor-containment-mat-2-4-x-4-9-m-non-slip-pvc-garage-floor-mat-with-a-tcd7ft9inch1icx0e001v0","CREATED"
"prod_01KP6FAPHJ74VR3F1AHFXTFJX6","vevor-119-piece-cordless-rotary-tool-kit-dc12v-portable-mini-power-rot-bcgxzgjtjwsdf82rw001v9","BCGXZGJTJWSDD8PM2001V9","prod_01KPJV50WQH0CVNFMYFFPTRPSN","vevor-73-piece-cordless-rotary-tool-kit-dc4v-portable-mini-power-rotar-bcgxzgjtjwsdd8pm2001v9","CREATED"
"prod_01KP6FAPHJ74VR3F1AHFXTFJX6","vevor-119-piece-cordless-rotary-tool-kit-dc12v-portable-mini-power-rot-bcgxzgjtjwsdf82rw001v9","BCGXZGJTJWSDXP1CC001V9","prod_01KPJV512ZWNHDNWJKNRFFRXKD","vevor-136-piece-cordless-rotary-tool-kit-dc8v-portable-mini-power-rota-bcgxzgjtjwsdxp1cc001v9","CREATED"
"prod_01KP6FAPHJ74VR3F1AHFXTFJX6","vevor-119-piece-cordless-rotary-tool-kit-dc12v-portable-mini-power-rot-bcgxzgjtjwsdf82rw001v9","BCGXZGJTJWSDF82RW001V9","prod_01KPJV5196ZBMN6BH9D30JYX5A","vevor-119-piece-cordless-rotary-tool-kit-dc12v-portable-mini-power-rot-bcgxzgjtjwsdf82rw001v9","CREATED"
"prod_01KP6FAPVD4W4J93AJ23VSEDSV","vevor-portable-digital-magnifier-127mm-hd-electronic-video-magnifier-f-dzfdjscsfcp5yxhnx001v9","DZFDJZDSCP8IJ367M001V9","prod_01KPJV51QVMP5SJ75XH10F89C9","vevor-portable-digital-magnifier-203mm-touchscreen-electronic-video-ma-dzfdjzdscp8ij367m001v9","CREATED"
"prod_01KP6FAPVD4W4J93AJ23VSEDSV","vevor-portable-digital-magnifier-127mm-hd-electronic-video-magnifier-f-dzfdjscsfcp5yxhnx001v9","DZFDJSCSFCP5YXHNX001V9","prod_01KPJV51XVC1WJRGSEFSH3PA4E","vevor-portable-digital-magnifier-127mm-hd-electronic-video-magnifier-f-dzfdjscsfcp5yxhnx001v9","CREATED"
"prod_01KP6FAPVD4W4J93AJ23VSEDSV","vevor-portable-digital-magnifier-127mm-hd-electronic-video-magnifier-f-dzfdjscsfcp5yxhnx001v9","DZFDJSCSFCP5KA6L0001V9","prod_01KPJV5240GVF39MC3M4X6FK04","vevor-portable-digital-magnifier-127mm-hd-electronic-video-magnifier-f-dzfdjscsfcp5ka6l0001v9","CREATED"
"prod_01KP6FAQBFD42FVDCB22R2K6K7","vevor-emergency-weather-radio-4000mah-battery-fm-am-wb-noaa-alert-sola-yjsyjsxnk000fyyoy001v9","YJSYJSXNK000FYYOY001V9","prod_01KPJV52KYP2WWEE9BWHVPSFPR","vevor-emergency-weather-radio-4000mah-battery-fm-am-wb-noaa-alert-sola-yjsyjsxnk000fyyoy001v9","CREATED"
"prod_01KP6FAQBFD42FVDCB22R2K6K7","vevor-emergency-weather-radio-4000mah-battery-fm-am-wb-noaa-alert-sola-yjsyjsxnk000fyyoy001v9","YJSYJSXNK0007EOHS001V9","prod_01KPJV52SS8TXE303TR79X89FA","vevor-emergency-weather-radio-8000mah-battery-fm-am-wb-noaa-alert-sola-yjsyjsxnk0007eohs001v9","CREATED"
"prod_01KP6FAQBFD42FVDCB22R2K6K7","vevor-emergency-weather-radio-4000mah-battery-fm-am-wb-noaa-alert-sola-yjsyjsxnk000fyyoy001v9","YJSYJCSBK000B74G2001V9","prod_01KPJV530Q429DDVRS3M0E1MT8","vevor-emergency-weather-radio-2000mah-battery-fm-am-wb-noaa-alert-sola-yjsyjcsbk000b74g2001v9","CREATED"
