# 363 zombie hard-delete kandidaadid — audit-jälg (loodud 2026-08-25)
# Kriteerium: deleted_at IS NOT NULL AND status='published' (04-19 re-import müra)
# HARD-DELETE EI OLE VEEL TEHTUD — ootab (1) re-run'i, (2) värsket backup'i.
# Veerud: product_id | handle | vevor_sku | deleted_at | has_content
#---
prod_01KP6FCYY7ACKWFR1KE8S8HXG7|vevor-0-83-sq-ft-wall-safe-3-tier-hidden-wall-safe-with-password-key-t-bgbxj4162522x2sv6001v9|BGBXJ4162522X2SV6001V9|2026-04-19|no
prod_01KP6FF6JW9ZZQY7XCX1E3SNRP|vevor-10-pack-6-6-ft-2m-v-shape-led-aluminum-channel-with-milky-cover-ledddcvx66ftag0u5001v0|LEDDDCVX66FTAG0U5001V0|2026-04-19|yes
prod_01KP6FCAX0F2S1JN0ZQ34KTYKZ|vevor-10-pack-led-high-bay-lights-5000k-200w-30000lm-super-bright-ufo-5000khwd10pctnok2001v2|5000KHWD10PCTNOK2001V2|2026-04-19|yes
prod_01KP6FFG9JBP13JAZ0EER96VJ1|vevor-1000-kg-electric-chain-hoist-3-m-lifting-height-230v-single-phas-gdsddhlhljck2rmwo001v2|GDSDDHLHLJCK2RMWO001V2|2026-04-19|yes
prod_01KP6FCM76CNWXC881D6N55Q7Y|vevor-10l-ultrasonic-cleaner-professional-ultrasonic-cleaner-machine-w-splxnajkzcsbzek8b001v2|SPLXNAJKZCSBZEK8B001V2|2026-04-19|yes
prod_01KP6FAR5F0G11QRHRTZSTBJKG|vevor-10l-ultrasonic-cleaner-professional-ultrasonic-cleaner-machine-w-sxjjkcsbqxj1skjlq001v2|SXJJKCSBQXJ1SKJLQ001V2|2026-04-19|yes
prod_01KP6FCGNYBFFTZNDGKAW88X12|vevor-11-36-l-vacuum-chamber-with-pump-3-5-cfm-99-l-min-single-stage-v-zkbyzkttzdj1c7iaj001v2|ZKBYZKTTZDJ1C7IAJ001V2|2026-04-19|yes
prod_01KP6FEQEJHBQ0G0A80BJ86DNS|vevor-113pcs-wooden-train-set-for-kids-ages-3-8-wood-train-track-toy-w-mzgdkcsdj0005aflz001v0|MZGDKCSDJ0005AFLZ001V0|2026-04-19|yes
prod_01KP6FAPHJ74VR3F1AHFXTFJX6|vevor-119-piece-cordless-rotary-tool-kit-dc12v-portable-mini-power-rot-bcgxzgjtjwsdf82rw001v9|BCGXZGJTJWSDF82RW001V9|2026-04-19|yes
prod_01KP6FAV6ZZSDDXFS9K7K2HV6P|vevor-12-pcs-decorative-candle-lantern-led-electric-flameless-candle-p-ledcdgts6incdmemf001v9|LEDCDGTS6INCDMEMF001V9|2026-04-19|yes
prod_01KP6FC2E8QRGFVBH3BA0T0K7H|vevor-125mm-disc-sander-25mm-x-762mm-belt-sander-250w-benchtop-belt-di-dpsgjzhypwbx87xuh001v2|DPSGJZHYPWBX87XUH001V2|2026-04-19|yes
prod_01KP6FASBX53ZE41BWPDCRDTA8|vevor-12v-linear-actuator-150mm-stroke-ultra-heavy-duty-9000n-linear-m-czxxxzxq9000d6j8m001v9|CZXXXZXQ9000D6J8M001V9|2026-04-19|no
prod_01KP6FBPBP8Q6AX89TTNZ4MDWZ|vevor-15-2m-mini-split-line-set-6-4-9-5mm-od-ac-copper-tubing-pipe-3-8-kdljtg06550fn9y1j001v0|KDLJTG06550FN9Y1J001V0|2026-04-19|no
prod_01KP6FCQGRQE2MV46VXR2YK813|vevor-150w-foldable-monocrystalline-solar-panel-23-efficiency-portable-bxzdtynb1150e7m1n001y3|BXZDTYNB1150E7M1N001Y3|2026-04-19|yes
prod_01KP6FCFDMVRX6APRDNY09XCVN|vevor-160-cm-console-table-farmhouse-desk-behind-the-couch-wooden-rect-bsxgzeknsfdchp2kx001v0|BSXGZEKNSFDCHP2KX001V0|2026-04-19|yes
prod_01KP6FFVY2J9N6C6F6A9V99A8A|vevor-1800-mm-manual-tile-cutter-upgraded-rail-and-sliding-head-precis-gddzdghhdtsjhh0nu001v0|GDDZDGHHDTSJHH0NU001V0|2026-04-19|yes
prod_01KP6FCWA7XYVRSQNE1DHH8MSC|vevor-2-in-1-electric-hoist-winch-500-kg-capacity-1500w-portable-power-cgggkbxsddhl4i4oh001v2|CGGGKBXSDDHL4I4OH001V2|2026-04-19|yes
prod_01KP6FF7YXX3P27E8N2CCCYKJF|vevor-2-step-ladder-folding-step-stool-with-wide-anti-slip-pedal-and-c-lhjhjtlb0000ltszh001v0|LHJHJTLB0000LTSZH001V0|2026-04-19|yes
prod_01KP6FF78GNM56F4SFFMFERMZK|vevor-2-tier-heavy-duty-wall-garage-shelving-50-x-122-cm-steel-wall-mo-ckgbddbj2jdgsj6cq001v0|CKGBDDBJ2JDGSJ6CQ001V0|2026-04-19|yes
prod_01KP6FF6YX60ZVN5TA1MT6V1FD|vevor-2-tier-heavy-duty-wall-garage-shelving-610-x-1219-mm-steel-wall-ckgbgswgj244paie8001v0|CKGBGSWGJ244PAIE8001V0|2026-04-19|no
prod_01KP6FB34PP4470PB83MJSRV99|vevor-200w-12v-complete-solar-power-kit-2pcs-100w-monocrystalline-sola-zhsku00000000000469|ZHSKU00000000000469|2026-04-19|yes
prod_01KP6FG4T2SGNY4QHB0P6S9ANP|vevor-2026-upgraded-sewer-camera-with-wifi-20m-drain-pipeline-camera-i-wpsgdksybdpd0s0h7001v9|WPSGDKSYBDPD0S0H7001V9|2026-04-19|yes
prod_01KP6FG0744ASTERHF1MDCSHFA|vevor-2041-kg-electric-winch-12v-dc-atv-utv-winch-with-6-mm-x-12-m-ste-zlqdxgssjp45oj5b5001v9|ZLQDXGSSJP45OJ5B5001V9|2026-04-19|yes
prod_01KP6FCPM6TMSRK93XNMC90WJS|vevor-24-egg-incubator-automatic-egg-turner-with-led-candler-temperatu-jqfhqekzx24dp1lvl001v2|JQFHQEKZX24DP1LVL001V2|2026-04-19|yes
prod_01KP6FATWH3K7FDQMHD3J3K0XC|vevor-24-pcs-wooden-wedding-lantern-cedar-wood-and-plastic-wooden-lant-mzhldldlzs10smdj9001v0|MZHLDLDLZS10SMDJ9001V0|2026-04-19|yes
prod_01KP6FG1ZXPF09F8ZFE09KV22R|vevor-250a-mig-welding-gun-with-4-57m-cable-replacement-for-miller-mdx-mighqmillerm4fbfb001v0|MIGHQMILLERM4FBFB001V0|2026-04-19|no
prod_01KP6FG0YW4GBY8JJ9M41TXM1W|vevor-2721-kg-electric-winch-12v-dc-atv-utv-winch-with-6-mm-x-15-m-syn-zlqdxchcsjp67msra001v9|ZLQDXCHCSJP67MSRA001V9|2026-04-19|yes
prod_01KP6FCQ3P3A9AEXYH8TZHW65N|vevor-2pcs-400w-monocrystalline-solar-panels-23-high-efficiency-mono-p-gdstynb2400wb68di001v2|GDSTYNB2400WB68DI001V2|2026-04-19|yes
prod_01KP6FBW4YJHACSVPY2AFNKAKZ|vevor-2pcs-welding-curtains-1-74-x-2-34m-welding-screen-curtain-flame-dmpf2jz68ftwx6vde001v0|DMPF2JZ68FTWX6VDE001V0|2026-04-19|yes
prod_01KP6FCF3NVW4W9MDWJYGGAW6Y|vevor-3-drawer-rattan-dresser-modern-closet-dresser-for-bedroom-natura-sljyxtbctjdlpgt2z001v0|SLJYXTBCTJDLPGT2Z001V0|2026-04-19|yes
prod_01KP6FC17D1G9B1627X0ZMM209|vevor-3-point-hitch-pallet-forks-680-kg-clamp-on-pallet-forks-128-cm-t-tphcsdsk50in3as0w001v0|TPHCSDSK50IN3AS0W001V0|2026-04-19|yes
prod_01KP6FE2QQKQDB0K26T2V4EGJK|vevor-30-5-cm-exhaust-fan-1558-cfm-high-velocity-wall-mount-vent-fan-w-sdkztfs12inchtwct001v2|SDKZTFS12INCHTWCT001V2|2026-04-19|yes
prod_01KP6FE07HHPEHZ8QS0FSHQ6GA|vevor-330mm-vinyl-floor-cutter-12mm-thick-laminate-flooring-cutter-wit-flxqgdbqgj13yqw5r001v0|FLXQGDBQGJ13YQW5R001V0|2026-04-19|yes
prod_01KP6FAYN6690QZP1QXK2FMMJS|vevor-360-swivel-jewelry-cabinet-1550-mm-tall-full-length-mirror-with-zbjlskxzfxjk3qu6j001v0|ZBJLSKXZFXJK3QU6J001V0|2026-04-19|yes
prod_01KP6FCA7D932VYCT16CCFF1X1|vevor-3d-printer-enclosure-with-ventilation-dustproof-waterproof-trans-3ddyjzytwqythd4yy001v9|3DDYJZYTWQYTHD4YY001V9|2026-04-19|yes
prod_01KP6FDWQZX2S7BNPRQ7ND486D|vevor-4-pcs-red-velvet-stanchion-ropes-1-5-m-crowd-control-stanchion-r-glzsspj5ftjgxongl001v0|GLZSSPJ5FTJGXONGL001V0|2026-04-19|yes
prod_01KP6FCXWBJPXJKKYGSHM2TMW6|vevor-4-wheel-electric-mobility-scooter-for-adults-seniors-integrated-ytzdzxcsdzd4tq065001v2|YTZDZXCSDZD4TQ065001V2|2026-04-19|yes
prod_01KP6FCW24DA06EMXY5T4SDW4F|vevor-4000w-hybrid-solar-inverter-24v-dc-to-230v-ac-pure-sine-wave-pow-lwnkytjgp2308wymp001v7|LWNKYTJGP2308WYMP001V7|2026-04-19|yes
prod_01KP6FDNPB0HM1SE5C8NHGJM5M|vevor-400w-foldable-solar-panel-with-frame-16bb-n-type-monocrystalline-zddktynb1400rrwex001v2|ZDDKTYNB1400RRWEX001V2|2026-04-19|no
prod_01KP6FB3R6RBKW9TV48KZRNDJ6|vevor-4800w-48v-complete-solar-power-kit-12-400w-monocrystalline-solar-zhsku00000000000481|ZHSKU00000000000481|2026-04-19|yes
prod_01KP6FCSQR21B89ZMJ8A5M4JBE|vevor-5-in-1-plasma-cutter-welder-combo-cut-tig-gas-mig-flux-mig-mma-5-dgnqhj200a50k5i1s001v2|DGNQHJ200A50K5I1S001V2|2026-04-19|yes
prod_01KP6FFMG0DX18QR1Y2MCF0C49|vevor-5-section-kids-coat-locker-wooden-toddler-cubby-storage-organize-ymgjbdjm5fq5x6epn001v0|YMGJBDJM5FQ5X6EPN001V0|2026-04-19|no
prod_01KP6FF7P47TARD503WZC60VXH|vevor-5-step-ladder-folding-step-stool-with-wide-anti-slip-pedal-and-c-lhjbgtwb0000tq4we001v0|LHJBGTWB0000TQ4WE001V0|2026-04-19|no
prod_01KP6FEV5G94E11JZ7KX0YMWH2|vevor-5-step-ladder-folding-step-stool-with-wide-anti-slip-pedal-tool-ygttwbdgjpdlwxcpg001v0|YGTTWBDGJPDLWXCPG001V0|2026-04-19|yes
prod_01KP6FCYDRYRSAZQTZGKB290SF|vevor-5-tier-double-sided-rolling-bin-storage-rack-68-plastic-bins-dua-kydwlj202842f6rb2001v0|KYDWLJ202842F6RB2001V0|2026-04-19|yes
prod_01KP6FDSY1CMAM0K34V1MXYARR|vevor-50l-air-compressor-1-5-kw-113l-min-at-6-2-bar-max-8-bar-pressure-qxklskyj220vtgfci001v2|QXKLSKYJ220VTGFCI001V2|2026-04-19|yes
prod_01KPGAVT0VFTA490BZD3JZFF9N|vevor-550w-electric-fruit-apple-crusher-sus304-desktop-crushing-machin-xgsnjtm550w03s9ck001v2|XGSNJTM550W03S9CK001V2|2026-04-19|yes
prod_01KP6FBC3RJQ2WMG91PCEWCFKD|vevor-6-pack-table-cloth-for-8ft-rectangular-fitted-events-wrinkle-res-dlzz8ft6pcsbza0uw001v0|DLZZ8FT6PCSBZA0UW001V0|2026-04-19|yes
prod_01KP6FDSAVP7F5T12Y0YD3P9KA|vevor-6-pcs-micrometer-set-0-1-1-2-2-3-3-4-4-5-5-6-in-machinist-outsid-qfctzwjqfc06froyo001v0|QFCTZWJQFC06FROYO001V0|2026-04-19|yes
prod_01KP6FFWHKN4326ED4KJ3XBAWY|vevor-600-mm-manual-tile-cutter-spring-loaded-base-cutting-tool-with-a-dhdzptk06mdgtanh0001v0|DHDZPTK06MDGTANH0001V0|2026-04-19|yes
prod_01KP6FFW7VADNDZT1AP5JDZWVN|vevor-600-mm-manual-tile-cutter-upgraded-sliding-head-cutting-tool-wit-dhdzhdtsjk06ufl78001v0|DHDZHDTSJK06UFL78001V0|2026-04-19|yes
prod_01KP6FD5R134DBFTQQJ54MKY15|vevor-60w-co2-laser-engraver-600-x-400-mm-co2-laser-engraver-cutter-ma-eyhtjgdkjldso30zn001v2|EYHTJGDKJLDSO30ZN001V2|2026-04-19|no
